subject,item,repetition,window,duration,sF0,strF0,pF0,CPP,H1H2c,H2H4c,H1A1c,H1A2c,H1A3c,H42Kc,H2KH5Kc,Energy,HNR05,HNR15,HNR25,HNR35,onset,nuc,coda,asp,tone,voicing,semitones,register,contour,manner,pct
F1,waang4,2,3,325.553,169.690259259259,169.709851851852,169.498444444444,33.0864444444444,-3.02785185185185,3.42944444444444,13.2287407407407,11.4954444444444,5.67648148148148,4.38266666666667,21.8166296296296,0.0594814814814815,74.2552962962963,65.7422592592593,64.6538888888889,63.6332962962963,w,aa,N,unasp,33,voiced,-2.38817070825566,low,level,sonorant,0.2
F1,waang4,2,4,325.553,168.953074074074,168.714407407407,169.430851851852,33.4027407407407,-3.15833333333333,4.29466666666667,13.5442222222222,11.4517777777778,7.56892592592593,4.23569230769231,25.0123333333333,0.0481481481481481,74.2343333333333,66.4783333333333,67.0954814814815,68.0604814814815,w,aa,N,unasp,33,voiced,-2.49001637913321,low,level,sonorant,0.3
F1,waang4,2,5,325.553,169.975888888889,169.550592592593,168.993037037037,30.6492592592593,-2.40640740740741,12.7898888888889,18.3241481481481,7.22559259259259,4.44188888888889,-10.1123333333333,29.2368888888889,0.0290740740740741,63.2361481481481,56.7263333333333,57.0462592592593,57.5079259259259,w,aa,N,unasp,33,voiced,-2.40442459679622,low,level,sonorant,0.4
F1,waang4,2,6,325.553,172.370888888889,172.311444444444,171.224074074074,29.1121111111111,-1.94518518518519,11.5830740740741,22.1839259259259,4.63711111111111,-2.13159259259259,-9.22051851851852,28.6647037037037,0.0213333333333333,66.3511111111111,61.0038518518518,60.2816296296296,59.2965925925926,w,aa,N,unasp,33,voiced,-2.12479222304794,low,level,sonorant,0.5
F1,waang4,2,7,325.553,174.290185185185,173.899111111111,173.943185185185,28.8493333333333,-2.17733333333333,12.7064444444444,23.3945185185185,11.6207037037037,-2.19948148148148,-6.09833333333333,26.2158148148148,0.00892592592592593,62.8795925925926,61.7022962962963,62.6947037037037,62.6812592592593,w,aa,N,unasp,33,voiced,-1.96600781767216,low,level,sonorant,0.6
F1,waang4,2,8,325.553,173.210074074074,172.874481481481,173.87562962963,27.7184074074074,2.76125925925926,-3.4207037037037,18.049037037037,12.8443703703704,-3.02511111111111,-4.33044444444444,35.7467407407407,0.00411111111111111,60.5859259259259,62.7127777777778,66.0011481481481,66.2648518518518,w,aa,N,unasp,33,voiced,-2.06831542717397,low,level,sonorant,0.7
F1,waang4,2,9,325.553,171.036703703704,171.344259259259,172.35562962963,24.1790740740741,6.71977777777778,-8.02462962962963,9.18444444444444,9.52544444444444,-5.41581481481481,-8.13785185185185,41.2662592592593,0.004,59.6932962962963,62.8401481481481,65.6902962962963,64.5167037037037,w,aa,N,unasp,33,voiced,-2.22224024019287,low,level,sonorant,0.8
F1,waang4,2,10,325.553,167.514296296296,167.593740740741,169.064111111111,27.0278148148148,6.02440740740741,-6.65507407407407,8.42692592592593,10.537962962963,-4.80492592592593,-8.54751851851852,40.8333703703704,0.00348148148148148,67.7779259259259,70.428,73.2036666666667,72.4989259259259,w,aa,N,unasp,33,voiced,-2.60539529473705,low,level,sonorant,0.9
F1,waang4,2,11,325.553,166.772703703704,166.680962962963,166.534407407407,24.2782962962963,7.20922222222222,-6.67103703703704,9.49262962962963,12.495037037037,-2.70411111111111,-9.16414814814815,42.004,0.00203703703703704,59.002,62.7335185185185,66.9650740740741,67.4964814814815,w,aa,N,unasp,33,voiced,-2.69994243684432,low,level,sonorant,1
F1,bhaam2,3,1,328.853,195.718214285714,195.51025,199.723571428571,20.9397857142857,0.962428571428571,2.14335714285714,15.018,17.4594642857143,15.0695,7.00439285714286,22.9572142857143,0.04025,46.6629285714286,43.9690357142857,49.1625,50.9338214285714,bh,aa,N,asp,21,voiced,0.0619164296063258,low,falling,obstruent,0
